date,	opponent,	result,	nz_points,	opponent_points
Tue 18th Nov 2008  7:30pm,	Munster	win,	18,	16
Sat 15th Nov 2008  5:15pm,	Ireland,	win,	22,	3
Sat 8th Nov 2008  5:15pm,	Scotland,	win,	32,	6
Sat 1st Nov 2008  4:30pm,	Australia,	win,	19,	14
Sat 13th Sep 2008  8:00pm,	Australia,	win,	28,	24
Wed 3rd Sep 2008  7:35pm,	Samoa,	win,	101,	14
Sat 16th Aug 2008  3:00pm,	South Africa,	win,	19,	0
Sat 2nd Aug 2008  7:35pm,	Australia,	win,	39,	10
Sat 26th Jul 2008  8:00pm,	Australia,	loss,	19,	34
Sat 12th Jul 2008  7:35pm,	South Africa,	loss,	28,	30
Sat 5th Jul 2008  7:35pm,	South Africa,	win,	19,	8
Sat 21st Jun 2008  7:35pm,	England,	win,	44,	12
Sat 14th Jun 2008  7:35pm,	England,	win,	37,	20
Sat 7th Jun 2008  7:35pm,	Ireland,	win,	21,	11
Sat 6th Oct 2007  9:00pm,	France,	loss,	18,	20
Sat 29th Sep 2007  1:00pm,	Romania,	win,	85,	8
Sun 23rd Sep 2007  4:00pm,	Scotland,	win,	40,	0
Sat 15th Sep 2007  1:00pm,	Portugal,	win,	108,	13
Sat 8th Sep 2007  1:45pm,	Italy,	win,	76,	14
Sat 21st Jul 2007  7:35pm,	Australia,	win,	26,	12
Sat 14th Jul 2007  7:35pm,	South Africa,	win,	33,	6
Sat 30th Jun 2007  8:00pm,	Australia,	loss,	15,	20
Sat 23rd Jun 2007  3:00pm,	South Africa,	win,	26,	21
Sat 16th Jun 2007  7:35pm,	Canada,	win,	64,	13
Sat 9th Jun 2007  7:35pm,	France,	win,	61,	10
Sat 2nd Jun 2007  7:35pm,	France,	win,	42,	11
Sat 25th Nov 2006  5:00pm,	Wales,	win,	45,	10
Sat 18th Nov 2006  9:00pm,	France,	win,	23,	11
Sat 11th Nov 2006  9:00pm,	France,	win,	47,	3
Sun 5th Nov 2006  3:30pm,	England,	win,	41,	20
Sat 2nd Sep 2006  3:00pm,	South Africa,	loss,	20,	21
Sat 26th Aug 2006  3:00pm,	South Africa,	win,	45,	26
Sat 19th Aug 2006  5:30pm,	Australia,	win,	34,	27
Sat 29th Jul 2006  8:00pm,	Australia,	win,	13,	9
Sat 22nd Jul 2006  7:35pm,	South Africa,	win,	35,	17
Sat 8th Jul 2006  7:35pm,	Australia,	win,	32,	12
Sat 24th Jun 2006  9:00pm,	Argentina,	win,	25,	19
Sat 17th Jun 2006  7:35pm,	Ireland,	win,	27,	17
Sat 10th Jun 2006  7:35pm,	Ireland,	win,	34,	23
Sat 26th Nov 2005  2:30pm,	Scotland,	win,	29,	10
Sat 19th Nov 2005  2:30pm,	England,	win,	23,	19
Sat 12th Nov 2005  2:30pm,	Ireland,	win,	45,	7
Sat 5th Nov 2005  4:00pm,	Wales,	win,	41,	3
Sat 3rd Sep 2005  7:35pm,	Australia,	win,	34,	24
Sat 27th Aug 2005  7:35pm,	South Africa,	win,	31,	27
Sat 13th Aug 2005  8:00pm,	Australia,	win,	30,	13
Sat 6th Aug 2005  3:00pm,	South Africa,	loss,	16,	22
Sat 9th Jul 2005  7:00pm,	Lions,	win,	38,	19
Sat 2nd Jul 2005  7:10pm,	Lions,	win,	48,	18
Sat 25th Jun 2005  7:10pm,	Lions,	win,	21,	3
Fri 10th Jun 2005  7:10pm,	Fiji,	win,	91,	0
Sat 4th Dec 2004  3:00pm,	Barbarians,	win,	47,	19
Sat 27th Nov 2004  9:00pm,	France,	win,	45,	6
Sat 20th Nov 2004  5:30pm,	Wales,	win,	26,	25
Sat 13th Nov 2004  4:00pm,	Italy,	win,	59,	10
Sat 14th Aug 2004  3:00pm,	South Africa,	loss,	26,	40
Sat 7th Aug 2004  8:00pm,	Australia,	loss,	18,	23
Sat 24th Jul 2004  7:35pm,	South Africa,	win,	23,	21
Sat 17th Jul 2004  7:35pm,	Australia,	win,	16,	7
Sat 10th Jul 2004  7:35pm,	Pacific,	win,	41,	26
Sat 26th Jun 2004  7:35pm,	Argentina,	win,	41,	7
Sat 19th Jun 2004  7:35pm,	England,	win,	36,	12
Sat 12th Jun 2004  7:35pm,	England,	win,	36,	3
Thu 20th Nov 2003  8:00pm,	France,	win,	40,	13
Sat 15th Nov 2003  8:00pm,	Australia,	loss,	10,	22
Sat 8th Nov 2003  6:30pm,	South Africa,	win,	29,	9
Sun 2nd Nov 2003  8:35pm,	Wales,	win,	53,	37
Fri 24th Oct 2003  5:30pm,	Tonga,	win,	91,	7
Fri 17th Oct 2003  12:00am,	Canada,	win,	68,	6
Sat 11th Oct 2003  12:00am,	Italy,	win,	70,	7
Sat 16th Aug 2003  7:35pm,	Australia,	win,	21,	17
Sat 9th Aug 2003  7:35pm,	South Africa,	win,	19,	11
Sat 26th Jul 2003  8:00pm,	Australia,	win,	50,	21
Sat 19th Jul 2003  3:00pm,	South Africa,	win,	52,	16
Sat 28th Jun 2003  7:35pm,	France,	win,	31,	23
Sat 21st Jun 2003  7:00pm,	Wales,	win,	55,	3
